Handle;Title;Body (HTML);Included in Online Store;Image Src;Option1 Name;Option1 Value;Option2 Name;Option2 Value;Option3 Name;Option3 Value;Variant Price;Variant Compare At Price;Track Inventory;;;;;Allow Out of Stock Purchases;Available Quantity;SKU;Weight Value;Weight Unit;Dimension Length;Dimension Width;Dimension Height;Dimension Unit;Product Label Enable;Label Title;Label Start Date;Label End Date;SEO Title;SEO Description
product-code-7956;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7956_6169_Mothers_Day_Premium_Bouquet_and_Berries_Gift_Set_angled.webp;;Single Bouquet;;;;;$126.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Premium Bouquet & Berries Gift Set;You really need to be better about calling, but in the meantime send our Mother's Day Premium Bouquet & Berries Gift set and all will be forgiven. Include 
product-code-8440;Yellow May Flowers;Add a fresh breath of spring and chic finishing touch to mom's Mother's Day gift with our Yellow May Flowers. Choose one of two vase designs to complete their gift.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8440_6457_Yellow_May_Flowers_vase_custom_mosaic_s.webp;Option;Single with Modern Mosaic Vase;;;;;$81.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Yellow May Flowers;Add a fresh breath of spring and chic finishing touch to mom's Mother's Day gift with our Yellow May Flowers. Choose one of two vase designs to complete th
product-code-8440;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8440_6457_Yellow_May_Flowers_vase_custom_floral_s.webp;;Single with Janes Garden Vase;;;;;$81.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Yellow May Flowers;Add a fresh breath of spring and chic finishing touch to mom's Mother's Day gift with our Yellow May Flowers. Choose one of two vase designs to complete th
product-code-8440;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8440_6457_Yellow_May_Flowers_vase_trumpet_s.webp;;Single with Clear Vase;;;;;$74.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Yellow May Flowers;Add a fresh breath of spring and chic finishing touch to mom's Mother's Day gift with our Yellow May Flowers. Choose one of two vase designs to complete th
product-code-8440;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8440_6457_Yellow_May_Flowers_angled_s.webp;;Single Bouquet;;;;;$59.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Yellow May Flowers;Add a fresh breath of spring and chic finishing touch to mom's Mother's Day gift with our Yellow May Flowers. Choose one of two vase designs to complete th
product-code-8444;The Sweetest Mother's Day Platter & Yellow Bouquet;Make sure mom knows she's one of a kind with our Yellow flowers. A uniquely sweet platter with MOM at the center and a bright burst of fresh flowers will make her feel like the star of Mother's Day (as she should). Choose one of two vase designs to complete their gift.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8444_6459_The_Sweetest_Mothers_Day_Platter_and_Yellow_Bouquet_vase_custom_floral.webp;Option;Single with Janes Garden Vase;;;;;$171.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;The Sweetest Mother's Day Platter & Yellow Bouquet;Make sure mom knows she's one of a kind with our Yellow flowers. A uniquely sweet platter with MOM at the center and a bright burst of fresh flowers will m
product-code-8444;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8444_6459_The_Sweetest_Mothers_Day_Platter_and_Yellow_Bouquet_vase_custom_mosaic.webp;;Single with Modern Mosaic Vase;;;;;$171.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;The Sweetest Mother's Day Platter & Yellow Bouquet;Make sure mom knows she's one of a kind with our Yellow flowers. A uniquely sweet platter with MOM at the center and a bright burst of fresh flowers will m
product-code-8444;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8444_6459_The_Sweetest_Mothers_Day_Platter_and_Yellow_Bouquet_vase_trumpet.webp;;Single with Clear Vase;;;;;$164.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;The Sweetest Mother's Day Platter & Yellow Bouquet;Make sure mom knows she's one of a kind with our Yellow flowers. A uniquely sweet platter with MOM at the center and a bright burst of fresh flowers will m
product-code-8444;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8444_6459_The_Sweetest_Mothers_Day_Platter_and_Yellow_Bouquet_angled.webp;;Single Bouquet;;;;;$149.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;The Sweetest Mother's Day Platter & Yellow Bouquet;Make sure mom knows she's one of a kind with our Yellow flowers. A uniquely sweet platter with MOM at the center and a bright burst of fresh flowers will m
product-code-8448;Mother's Day Celebration & Yellow Bouquet;You and mom may not always see eye to eye, but that's not stopping you from sending a sweet Mother's Day gift, right? Choose one of two vase designs to complete their gift. Actual vase may vary from the image shown.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8448_6466_Mothers_Day_Celebration_and_Yellow_Bouquet_angled.webp;Option;Single Bouquet;;;;;$149.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Celebration & Yellow Bouquet;You and mom may not always see eye to eye, but that's not stopping you from sending a sweet Mother's Day gift, right? Choose one of two vase designs to com
